,iNKT_VD1,iNKT_VD2,DysiNKTD1,DysiNKTD2,iNKTD1,iNKTD2
ENSG00000005073,0,0.038119,0,0,0,0
ENSG00000005075,97.311938,76.710232,62.876107,61.063511,101.748527,80.146711
ENSG00000005100,9.439209,10.655281,11.03883,9.261127,12.655852,10.306238
ENSG00000005102,0,0,0,0.243462,0.267265,0.249405
ENSG00000005108,0,0.006935,0,0,0,0
ENSG00000005156,15.059679,16.822434,14.555589,21.434414,16.424417,11.98741
ENSG00000005175,38.584234,43.2034,23.795668,27.551712,32.782437,39.69163
ENSG00000005187,2.157664,3.044695,0.827607,0.550884,0.839067,0.766718
ENSG00000005189,5.515409,4.900553,3.14046,4.486205,5.67243,2.682651
ENSG00000005194,33.356636,31.909631,29.062295,22.030165,39.33637,33.248189
ENSG00000005206,71.176741,82.487209,115.153821,90.715681,24.205026,55.132194
ENSG00000005238,29.624901,33.1114,32.644329,28.069841,17.164922,22.95675
ENSG00000005243,4.927845,2.81031,8.906217,6.801367,9.478678,8.932745
ENSG00000005249,3.935157,1.129508,0.544448,0.304639,0.654096,0.350297
ENSG00000005302,43.597328,60.190338,79.293022,92.888027,40.710467,56.635843
ENSG00000005339,34.222057,34.834011,63.387088,71.754864,31.155716,53.251313
ENSG00000005379,26.027514,31.37895,62.706282,64.530129,19.783341,56.518749
ENSG00000005381,0,0,0.525519,0,0.051421,0
ENSG00000005421,0,0,0,0,0,0
ENSG00000005436,15.910063,13.783398,13.407222,16.583309,12.2812,16.266767
ENSG00000005448,91.909016,73.06983,65.318174,58.094531,54.624628,47.084326
ENSG00000005469,10.539855,11.498598,13.081334,16.404049,5.603336,11.042087
ENSG00000005471,0.059817,0.146938,0.100313,0.022051,0.088379,0.066999
ENSG00000005483,76.113825,90.610463,123.49635,107.465994,55.82656,84.705262
ENSG00000005486,58.080054,80.04982,84.291989,94.247851,34.919137,55.673925
ENSG00000005513,2.07526,1.595001,0.53087,0.244716,0.03632,0.072945
ENSG00000005700,12.700516,19.15876,19.187541,27.961057,25.997045,27.404277
ENSG00000005801,9.185841,11.386464,13.203951,16.144954,15.04762,19.343723
ENSG00000005810,70.233964,86.148518,99.441946,70.12393,40.428668,83.820036
ENSG00000005812,14.763716,17.922518,26.396393,34.100127,26.820355,36.896151
ENSG00000005844,395.939069,431.187494,740.688647,652.404627,538.89243,781.475876
ENSG00000005882,28.637956,34.401885,21.112476,30.473266,21.01129,38.836313
ENSG00000005884,19.035019,26.989068,21.122698,16.361578,4.836572,10.861738
ENSG00000005889,10.206565,18.757933,20.189601,29.272935,16.662131,29.099733
ENSG00000005893,69.391858,74.420007,55.115389,56.375895,75.128219,77.502875
ENSG00000005961,0.549613,0.116444,0.424247,0.064322,0.248743,0.028757
ENSG00000005981,0,0,0.048386,0,0,0
ENSG00000006007,76.484876,97.826732,62.026192,82.598273,51.791994,57.931485
ENSG00000006015,78.76015,63.855471,97.976968,83.10823,93.483309,95.727245
ENSG00000006016,0.355298,0.273723,0,0,0,0
ENSG00000006025,118.876728,108.045655,159.659005,88.714913,17.303208,27.465528
ENSG00000006042,6.751162,7.58583,4.160399,7.992057,15.030304,16.254722
ENSG00000006047,6.618842,4.849028,0.991852,0.235156,0.29097,0.031599
ENSG00000006059,0,0,0,0,0,0
ENSG00000006062,26.54042,28.784996,33.313315,30.342506,12.383516,20.60888
ENSG00000006071,0,0,0,0,0,0
ENSG00000006116,0,0,0,0,0,0
ENSG00000006118,10.601789,10.968873,1.314137,1.291679,0.028878,0
ENSG00000006125,105.418451,112.188909,116.552841,126.633292,145.103001,130.82082
ENSG00000006128,0,0,0,0,0,0.094714
ENSG00000006194,38.510726,31.814648,33.718333,27.994668,20.875673,30.68833
ENSG00000006210,0,0,0,0.013698,0.009153,0
ENSG00000006282,8.05685,13.73298,21.448891,30.122152,11.316369,21.632144
ENSG00000006283,1.301587,1.066987,0.075489,0,0,0.068097
ENSG00000006327,19.361991,11.425234,8.416394,5.455745,4.48277,9.853822
ENSG00000006377,0,0,0,0,0,0
ENSG00000006432,8.398994,7.636609,4.531009,2.46707,3.209142,3.087585
ENSG00000006451,47.052101,56.332869,51.503948,53.748504,26.942624,28.555445
ENSG00000006453,0.224345,0.234163,0.625566,0.270673,0.075334,0.040345
ENSG00000006459,22.149912,23.068057,54.391738,53.536033,13.16185,14.836581
ENSG00000006468,1.584491,0.950663,2.589148,1.698488,1.884206,3.08167
ENSG00000006530,16.080919,17.565495,12.809095,14.719161,29.568624,26.775104
ENSG00000006534,0.121982,0.310198,0.486066,0.120088,0.054152,0.130308
ENSG00000006555,5.158325,9.745588,10.843578,13.583005,5.513809,8.502789
ENSG00000006576,37.524643,50.13666,39.356879,53.538063,65.524002,95.466136
ENSG00000006606,0,0,0,0,0,0
ENSG00000006607,10.925577,13.133764,5.985576,8.168323,8.191161,9.104521
ENSG00000006611,0,0,0,0,0,0
ENSG00000006625,28.542497,31.012327,16.39358,20.853221,67.075427,34.963161
ENSG00000006634,20.035231,24.89091,16.986486,18.653578,73.307412,33.925399
ENSG00000006638,2.141863,1.833349,2.975668,1.91719,1.085889,1.865397
ENSG00000006652,27.038389,36.215368,39.140823,35.224594,16.459646,25.694486
ENSG00000006659,0,0,0,0,0,0
ENSG00000006695,8.247676,14.763017,8.265295,11.280785,16.864117,15.791361
ENSG00000006704,1.239149,1.013118,0.492408,0.536279,0.090351,0.569835
ENSG00000006712,39.266035,45.291583,43.579755,49.378277,53.800029,53.370192
ENSG00000006715,24.918067,26.901263,30.447891,45.304936,35.003285,47.31652
ENSG00000006740,0.204494,0.177442,0,0.018194,0,0.016273
ENSG00000006744,38.7364,54.857313,38.9183,41.234881,44.078371,40.133962
ENSG00000006747,0.227063,0.136764,0.173517,0.088239,0.016083,0.230179
ENSG00000006756,2.083097,2.511221,7.38846,10.181388,5.046728,11.580868
ENSG00000006757,3.992095,5.393623,0.748139,2.950702,2.822386,2.929667
ENSG00000006788,0,0,0,0,0,0
ENSG00000006831,37.220429,49.096583,37.811856,46.887013,62.595817,47.862822
ENSG00000006837,4.012483,5.310505,1.630987,1.607274,0.70609,1.227453
ENSG00000007001,0,0,0,0,0,0
ENSG00000007038,1.172862,3.662134,1.27632,3.916108,4.185091,5.30087
ENSG00000007047,28.110069,32.951458,23.551625,30.32123,12.623377,21.898466
ENSG00000007062,0,0,0,0.020925,0,0.631062
ENSG00000007080,85.322641,85.808549,68.406753,58.76024,100.914454,90.550762
ENSG00000007129,91.934226,122.165876,123.69016,85.117224,37.704686,64.433936
ENSG00000007168,83.643688,99.172471,124.59549,111.272889,117.113389,111.685063
ENSG00000007171,0.280205,0.069595,0.110137,0.073745,0,0
ENSG00000007174,0,0,0.156928,0.046075,0,0
ENSG00000007202,59.135047,64.320419,67.952996,54.519589,60.266693,61.731017
ENSG00000007216,0,0,0,0,0,0
ENSG00000007237,0.630436,0.564028,0.877825,2.586686,0.742743,1.652152
ENSG00000007255,120.842879,119.126477,71.213912,84.141658,54.212108,110.541319
ENSG00000007264,59.489122,27.013559,114.612428,40.50685,49.738979,51.612732
ENSG00000007306,0,0,0,0,0,0
ENSG00000007312,6.567867,13.620566,22.543796,28.050108,35.441363,39.808324
ENSG00000007314,0,0.009487,0,0,0.026865,0
ENSG00000007341,9.599886,10.039287,9.201461,11.380939,9.42877,8.735969
ENSG00000007350,1.823873,0.217217,0.261603,0.731999,2.273661,1.148355
ENSG00000007372,0.083243,0,0.065177,0.011441,0,0
ENSG00000007376,21.043628,20.545408,20.22681,18.783297,29.82734,21.674877
ENSG00000007384,0.294902,0.057455,0.031556,0.121775,0,0.10889
ENSG00000007392,61.102836,58.526092,110.264664,79.625838,29.786186,47.493924
ENSG00000007402,3.311856,1.910818,6.31172,2.709545,0.112682,0.380022
ENSG00000007516,29.524659,52.850648,11.317486,14.998341,0.31135,2.792503
ENSG00000007520,35.883317,36.838083,36.87056,44.771612,46.236921,55.416504
ENSG00000007541,43.784328,70.656899,26.151523,23.309693,18.063996,22.151628
ENSG00000007545,22.048605,28.026687,24.530757,22.87112,11.270261,18.283945
ENSG00000007866,2.794265,3.022311,1.108089,0.724094,0.316193,1.021072
ENSG00000007908,0,0,0,0,0,0
ENSG00000007923,16.431321,21.109686,21.345904,20.541094,22.361739,20.785364
ENSG00000007933,0.46535,0.251556,0,0.400654,0.266636,0
ENSG00000007944,45.095706,49.472288,40.482506,39.764472,24.693626,29.391597
ENSG00000007952,0,0,0,0,0,0
ENSG00000007968,4.465451,14.964771,5.406925,12.413812,46.781084,27.238257
ENSG00000008018,193.694037,203.243414,143.556872,170.791353,250.939213,190.480427
ENSG00000008056,0.11771,0.541633,0.17024,0.078126,0,0.437644
ENSG00000008083,20.366704,26.682674,20.444312,20.361653,19.64023,24.401848
ENSG00000008086,2.653366,2.432003,3.485965,2.601047,1.565884,1.655472
ENSG00000008118,0,0,0,0,0,0
ENSG00000008128,120.019812,153.700913,163.324146,175.983313,61.108838,152.236555
ENSG00000008130,75.669904,81.43192,94.703746,89.420286,68.243617,68.129161
ENSG00000008196,0,0,0,0,0,0
ENSG00000008197,0,0,0,0,0,0
ENSG00000008226,5.32914,6.607068,2.695956,2.841494,0.291141,1.987061
ENSG00000008256,4.860134,3.268838,8.345785,2.662581,0.656399,1.263036
ENSG00000008277,3.643479,2.40853,1.254151,0.992054,0.480301,0.553226
ENSG00000008282,16.222035,21.137158,13.801922,15.961712,13.822709,24.711171
ENSG00000008283,29.051516,50.517396,82.650519,143.365078,14.33396,86.997736
ENSG00000008294,33.489889,32.413326,40.745765,34.846569,29.032709,30.000141
ENSG00000008300,3.079704,2.038233,1.712448,1.637793,2.224712,2.485228
ENSG00000008311,2.390464,2.74362,1.874175,1.369965,0.771207,0.994149
ENSG00000008323,0,0,0.131557,0.065159,0,0
ENSG00000008324,72.912198,77.473318,61.106327,69.734225,87.733331,77.562303
ENSG00000008382,15.389346,16.960739,11.710716,14.392951,16.219856,15.819883
ENSG00000008394,0.62325,1.515163,8.848557,3.097063,0.953567,0.884583
ENSG00000008405,31.508155,27.053151,19.650849,13.587071,17.879479,18.776297
ENSG00000008438,0,0,0,0,0,0
ENSG00000008441,0.190934,0.165211,2.266639,0.052608,0.061419,0.013047
ENSG00000008513,59.092746,68.00012,67.576729,68.361275,80.751365,83.747333
ENSG00000008516,78.939774,111.530381,178.119975,239.385047,161.829206,427.605588
ENSG00000008517,3065.970098,3827.307723,2118.781789,2727.314322,5554.275056,7930.317335
ENSG00000008710,105.437882,91.014747,100.130357,86.511142,35.666864,81.492971
ENSG00000008735,0.219729,0.241455,0.331549,0.194384,0.094954,0.239027
ENSG00000008838,29.907952,38.965415,54.726551,70.447028,48.132228,71.301666
ENSG00000008853,8.625609,6.131062,1.543115,1.337601,3.016266,3.479067
ENSG00000008869,17.210046,24.524618,19.500854,21.870712,11.609195,18.834122
ENSG00000008952,56.582809,56.629519,62.317286,68.83492,54.699301,65.727582
ENSG00000008988,2651.857402,1952.365412,2073.966595,1649.924387,1681.363519,1715.545337
ENSG00000009307,207.796852,217.159625,263.900635,248.796138,206.520527,210.561775
ENSG00000009335,35.554306,40.254822,33.478023,33.495686,38.301297,42.430637
ENSG00000009413,24.509054,27.711317,27.445905,28.440769,20.707035,24.720792
ENSG00000009694,0.00544,0.039723,0.047909,0.078143,0.008035,0.021511
ENSG00000009709,0.025994,0,0,0,0,0
ENSG00000009724,0,0.032839,0.316358,0.069607,0,0
ENSG00000009765,0.264982,0.4334,0.692342,0.759997,0.080792,0.624033
ENSG00000009780,16.489286,15.353546,13.156804,15.797708,8.029356,10.863485
ENSG00000009790,273.843004,358.703811,488.857671,608.539905,369.467925,449.894811
ENSG00000009830,15.022763,24.025815,8.247452,6.582902,2.860805,4.455045
ENSG00000009844,34.810319,32.81046,24.176294,29.214844,42.485332,37.078404
ENSG00000009950,0.732455,0.465016,1.395963,0.866733,0.304753,0.572532
ENSG00000009954,44.094694,48.885756,54.572515,49.992941,73.278636,58.281709
ENSG00000010017,48.455844,56.377822,49.830272,54.5515,53.218085,48.260958
ENSG00000010030,2.816485,3.322575,4.84205,4.893925,17.445375,4.069229
ENSG00000010072,10.606316,13.196491,7.291866,9.813492,12.035868,9.636197
ENSG00000010165,34.848148,27.592278,30.629655,28.965167,36.206822,27.891624
ENSG00000010219,27.693172,33.378676,34.147583,38.598699,30.252928,36.265704
ENSG00000010244,112.337563,151.855598,207.075889,205.271564,219.565534,193.616389
ENSG00000010256,84.444281,70.865582,90.030958,85.285787,129.412996,82.492388
ENSG00000010270,41.28965,39.791254,20.505895,23.357105,60.109581,36.695103
ENSG00000010278,6.601888,12.25548,10.789414,14.152363,4.102667,18.18842
ENSG00000010282,0,0,0,0,0,0
ENSG00000010292,62.940603,85.630961,52.163826,54.585163,106.063937,81.021816
ENSG00000010295,48.050266,48.889647,54.6376,51.955483,19.430984,36.042205
ENSG00000010310,35.772452,33.606285,64.020596,21.299457,4.375576,9.949412
ENSG00000010318,23.630067,19.392601,20.920484,14.509357,12.310737,8.925294
ENSG00000010319,0.044358,0.015429,0,0.032693,0.032764,0
ENSG00000010322,78.243779,76.517179,143.777649,111.144198,37.046896,64.432775
ENSG00000010327,0.089085,0,0.037518,0.039915,0,0
ENSG00000010361,13.975432,13.4743,16.050022,11.615496,8.229242,7.550566
ENSG00000010379,0.040522,0.042334,0.468674,0.32914,0.059906,0
ENSG00000010404,182.812535,196.481989,281.848218,237.935947,113.347394,136.988121
ENSG00000010438,0,0.786005,0,0,0,0.128649
ENSG00000010539,12.955247,10.456693,8.789474,11.179765,8.571885,11.922489
ENSG00000010610,109.171259,225.260116,170.513657,298.139461,72.295111,231.097145
ENSG00000010626,8.668657,5.418434,7.778012,3.814579,2.410214,5.157737
ENSG00000010671,0,0,0.086668,0.105475,0.141405,0
ENSG00000010704,1.625147,0.859922,1.720094,1.295001,2.6587,0.974473
ENSG00000010803,17.394864,15.715132,22.895754,12.938747,17.374187,21.140326
ENSG00000010810,522.696981,530.64772,912.435334,705.397497,221.778289,261.487487
ENSG00000010818,18.997521,15.244524,18.623075,13.795947,9.624237,10.539082
ENSG00000010932,0,0,0,0,0,0
ENSG00000011007,26.891026,30.47456,20.2121,25.476243,32.387409,29.759945
ENSG00000011009,52.001384,62.456099,55.825129,59.480311,79.671101,75.549212
ENSG00000011021,9.846626,11.996994,8.274443,9.53125,9.378346,10.404378
ENSG00000011028,19.291169,17.048912,21.964095,9.172772,5.734412,10.485982
ENSG00000011052,2.135061,2.135977,0.406252,1.655112,11.079348,4.484415
ENSG00000011083,0,0,0.02479,0,0,0
ENSG00000011105,1.331618,1.043035,0.630605,0.07538,0.025179,0.050565
ENSG00000011114,9.822891,9.722196,9.409711,10.15977,9.257826,9.667036
ENSG00000011132,78.793013,78.961893,102.623328,101.239184,44.019136,88.420739
ENSG00000011143,8.850994,9.902605,9.634954,10.519696,9.24456,5.96257
ENSG00000011198,6.558383,8.276999,3.908733,9.385713,18.146098,10.712238
ENSG00000011201,0.079327,0,0.342122,0,0.025109,0
ENSG00000011243,180.30048,200.323577,170.131029,152.733192,43.275214,83.858395
ENSG00000011258,15.070919,15.562208,19.687997,15.738715,5.914391,9.441323
ENSG00000011260,36.740197,36.907767,30.151092,25.856973,45.039195,43.85987
ENSG00000011275,31.764845,30.608787,33.317494,28.961179,14.638806,26.183739
ENSG00000011295,24.007262,23.425895,21.330344,21.146961,16.925438,24.079449
ENSG00000011304,149.930947,173.981517,152.938002,171.812726,232.332415,207.523263
ENSG00000011332,0.034828,0.270631,0,0.106388,0.128699,0
ENSG00000011347,0.834384,0.109061,0.147378,0,0,0.014764
ENSG00000011376,3.999274,3.380788,4.210588,4.243052,12.848135,6.803823
ENSG00000011405,9.120032,13.750418,12.08391,17.255945,7.757595,12.361154
ENSG00000011422,6.83156,9.007192,7.497317,6.42896,6.989635,8.786598
ENSG00000011426,2.982354,5.661485,6.380968,7.366011,31.184947,17.746321
ENSG00000011451,23.349987,30.584484,22.36144,24.185961,17.504722,26.399761
ENSG00000011454,18.815006,19.749276,20.145517,19.360743,15.596496,20.463134
ENSG00000011465,0.088324,0,0,0.079094,0,0.35165
ENSG00000011478,15.851392,14.106727,18.60359,17.070325,6.849888,7.462668
ENSG00000011485,62.00693,77.673679,92.032427,89.161798,93.618421,114.077319
ENSG00000011523,20.961889,21.967302,15.257324,11.402862,2.318631,7.769092
ENSG00000011566,5.327995,8.781692,9.391363,7.77787,2.883992,4.935646
ENSG00000011590,6.418599,7.608294,3.338537,1.999578,22.662334,4.931762
ENSG00000011600,89.166565,83.24815,194.130715,185.886876,73.950979,205.010341
ENSG00000011638,12.280856,20.6769,19.55238,13.336326,9.226164,13.055817
ENSG00000011677,0,0,0,0,0,0
ENSG00000012048,7.743646,6.77755,5.648735,6.407922,39.873114,14.681676
ENSG00000012061,39.930309,41.416768,45.868966,51.760475,50.243006,51.487639
ENSG00000012124,0.437996,0,0,0,0.02126,0.246935
ENSG00000012171,1.038373,0.478163,1.372095,0.588002,0.050266,0.032277
ENSG00000012174,5.383516,4.94348,5.113255,5.129853,4.568294,6.491632
ENSG00000012211,14.820489,17.436241,14.669657,13.487886,11.032615,9.170488
ENSG00000012223,1.515953,5.905352,2.428641,1.863283,0.419138,0.036256
ENSG00000012232,12.25526,13.297847,14.576684,17.853198,12.603429,12.968713
ENSG00000012504,0,0,0,0,0,0
ENSG00000012660,171.850537,202.515632,161.418103,154.800956,146.727658,142.328666
ENSG00000012779,0.353848,1.90718,0.102205,0.622954,0.244667,2.231777
ENSG00000012817,63.932777,0,85.384742,0,27.157737,0
ENSG00000012822,297.471908,332.096571,245.106086,241.125145,49.758583,117.10635
ENSG00000012963,37.568105,40.800092,26.017499,29.349226,48.433631,32.525429
ENSG00000012983,36.802218,28.134598,40.65948,26.507835,23.88402,18.514011
ENSG00000013016,2.05325,1.880959,1.4001,1.438314,2.049208,1.829328
ENSG00000013275,65.345562,73.030709,50.993751,59.574813,104.881154,111.670579
ENSG00000013288,18.129357,15.281498,38.158141,37.11591,25.711775,32.258689
ENSG00000013293,0.056266,0.087272,0.131671,0.023444,0.05213,0.062028
ENSG00000013297,0.115923,0.44404,1.053676,0.428207,0.090943,0
ENSG00000013306,104.626972,90.469065,57.796474,59.420135,71.439453,73.47852
ENSG00000013364,173.418878,187.906693,183.933668,148.153772,112.78018,170.784028
ENSG00000013374,118.085784,124.59763,122.600782,125.487489,67.102138,96.446437
ENSG00000013375,9.143279,12.347076,19.352983,28.495322,18.271739,7.988387
ENSG00000013392,5.865137,5.38211,4.431093,3.156312,1.352192,2.160786
ENSG00000013441,158.302736,175.496099,283.208093,275.135589,92.09328,162.622872
ENSG00000013503,2.460952,2.78763,5.26135,2.012465,3.534747,3.633778
ENSG00000013523,11.455126,15.515629,15.814654,12.33343,4.189216,11.376864
ENSG00000013561,32.092839,26.575484,26.374216,34.922951,25.911528,34.922012
ENSG00000013563,16.246371,14.275549,27.878721,31.193247,18.56387,26.271186
ENSG00000013573,76.818855,78.495776,98.711382,56.446282,80.289325,84.457904
ENSG00000013583,19.984515,21.02484,8.466037,7.34127,3.045912,11.110497
ENSG00000013588,0.629661,1.318717,2.095954,1.611476,0,0
ENSG00000013619,10.793353,12.523771,8.128383,4.1056,5.379172,7.231004
ENSG00000013725,296.180656,472.298305,721.067759,726.98128,363.285768,512.134194
ENSG00000013810,47.593428,67.996819,98.451916,118.784647,170.597833,129.236461
ENSG00000014123,19.809612,22.045955,22.870929,29.266687,14.502193,22.291588
ENSG00000014138,8.046372,9.773217,9.015895,9.12993,43.310856,22.347248
ENSG00000014164,19.464784,33.382841,25.153883,31.62425,14.331794,24.725167
ENSG00000014216,39.151038,62.565304,106.268897,120.127573,110.783201,120.873843
ENSG00000014257,0,0,0.030093,0,0,0
ENSG00000014641,132.71778,145.603585,79.134908,94.318365,167.14236,132.591869
ENSG00000014824,20.980117,25.992574,17.097236,21.627716,23.185121,19.198605
ENSG00000014914,2.322098,2.98936,3.552152,5.624847,0.59078,2.856059
ENSG00000014919,19.332513,21.078864,23.037379,22.783975,21.117389,18.861635
ENSG00000015133,117.032515,116.011681,152.812618,145.228463,79.819158,114.232103
ENSG00000015153,26.999678,22.798752,24.431123,24.86984,35.240247,33.69625
ENSG00000015171,28.011586,22.849156,43.062194,49.880745,30.586687,42.127382
ENSG00000015285,89.33199,158.196757,151.511621,248.678461,193.711587,237.67456
ENSG00000015413,0,0,0,0,0,0
ENSG00000015475,25.49665,19.984561,14.348896,14.738725,40.856259,31.384877
ENSG00000015479,218.138744,243.573077,233.991512,244.546337,238.444223,222.907579
ENSG00000015520,0.049236,0,0.090101,0,0,0
ENSG00000015532,16.834153,13.960285,22.221906,18.290955,13.790372,21.050495
ENSG00000015568,11.638479,11.474409,7.50687,1.763536,3.566611,1.90002
ENSG00000015592,0.138103,0.144464,0.189387,0,0,0.13688
ENSG00000015676,40.408773,34.518818,34.506593,35.019713,32.467755,40.906579
ENSG00000016082,0,0,0,0,0,0
ENSG00000016391,4.660829,10.014814,15.160106,25.623166,8.454449,27.808331
ENSG00000016402,0,0.022923,0.082861,0,0,0
ENSG00000016490,0,0,0,0,0,0
ENSG00000016602,0,0,0,0,0,0
ENSG00000016864,64.119524,56.310539,67.088714,71.239429,41.047758,61.983557
ENSG00000017260,39.051562,55.614169,50.449556,50.18722,42.67962,43.311044
ENSG00000017427,1.323545,1.651806,3.902853,2.300904,0.70876,3.851587
ENSG00000017483,21.254101,29.136893,52.855037,41.506091,54.097726,43.656979
ENSG00000017797,54.815597,51.088873,46.017737,41.749221,52.923054,43.020333
ENSG00000018189,12.281787,10.39413,14.595297,9.17934,3.150235,5.30198
ENSG00000018236,0,0,0,0.027348,0,0
ENSG00000018280,0.452558,0.627308,0.353506,0.417557,0.144053,0.308408
ENSG00000018408,1.13297,1.766558,1.717213,1.133498,1.399882,2.383004
ENSG00000018510,17.019687,19.705142,14.534395,17.16461,30.738852,25.834725
ENSG00000018607,0,0,0,0,0,0
ENSG00000018610,21.936662,22.867041,24.312917,23.799511,25.516144,25.592279
ENSG00000018625,0,0,0,0.018264,0,0
