SYMBOL,KKKD131,KKKD068,KKU055,KKU213C,KKU213A,SSP25,KKU213B,RBE,TFK1
DNAJC15,32,43.03,18.09,18.75,17.81,10.53,12.28,19.52,21.37
TMEM125,3.69,0.23,0.05,3.19,6.16,2.66,1.51,0,35.56
SEC61G,509.26,1137.63,610.57,640.8,841.55,906.87,726.3,388.15,592.05
GPAT2P1,0,0.11,0,0,0,0,0,0,1.73
AC002075.1,0.27,0,0,0,0,0,0,0,0
AC068587.8,2.5,3.45,0,0,0,1.38,4.36,4.3,16.42
DLL4,0.42,0,0.02,1.42,0.14,0.04,0.06,0.45,0.87
NT5DC4,0.28,0,0.05,0.05,1.32,0.1,3,0,0.4
MSL3,37.81,38.25,71.66,24.12,45.24,45.35,44.11,13.25,7.94
MTND4P20,0,0,0,0,0,0,0,0,0
PBDC1,57.02,54.87,95.43,92.55,99.7,66.5,79.42,4.89,27.53
C11orf1,51.85,7.83,24.83,9.58,25.98,15.65,8.66,37.09,45.21
CSNK2A1,241.53,106.89,158.41,126.12,89.4,94.36,132.87,159.47,87.74
CASP5,0,0,0,0,0,0,0,0,0.61
ADAMTS7,4.17,0.27,1.03,0,0.06,0.37,0,1.21,0.33
AP005435.1,0,0,0,0,0,0.13,0,0,0
TEX22,0.02,0,1.6,0.06,0.09,0.1,0.28,0.9,0.06
CARNS1,0.03,0.19,0.23,0,0.08,0.03,0.56,0.05,0
AC074052.1,0,0,0,0,0.34,0,0,0,0
OR7E33P,0,0,0,0.1,0,0,0,0,0
SNX17,112.26,107.39,63.67,79.91,104.59,100.24,78.9,107.56,87.91
ARHGAP39,3.32,6.91,10.11,3.34,2.46,5.06,3.67,3.68,2.53
CCT5P1,0.04,0,0,0,0.05,0,0,0,0.05
SKIV2L,11.09,2.21,21.15,0.67,2.81,12.54,1.68,6.47,2.18
HEPACAM2,0.07,0,0.05,0,0,0.04,0,0.07,0.51
CALML5,1.7,0,0,0.97,10.51,0,0.73,0,0
SENP7,12.09,7.38,11.29,6.25,9.61,4.31,8.71,5.99,2.96
CFAP77,0,0.11,0.35,0,0,0,0.1,0,0
WNT11,0.44,0.85,0,0,0,0.04,0,0,0.61
AC098591.2,0,0,1.5,0,0,0,0,0.61,0
UQCRFS1,44.77,150.7,33.65,52.33,40.78,22.87,33.66,29.29,73.62
AP000705.2,0.05,0.26,0.2,0.13,0.13,0,0.11,0.05,0.06
HMGB1P44,0,0,0,0,0,0,0,0,0.21
AC046144.1,0.15,0,0.05,0.05,0,0,0.08,0,0
UBE2D4,5.76,13.25,22.1,12.57,13.79,14.25,14.39,8.1,6.93
ZNF214,1.22,0.77,4.17,5.34,0.69,1.96,3.2,3.93,0
RPL12P42,0.22,1.14,0,0,0.28,0.23,0.24,0.23,0
AL671883.2,0.08,0.3,0,0.2,0.2,0.81,0,0.08,0.1
RPL22L1,139.88,105.91,93.47,310.14,179.3,109.7,235.79,467.8,278.47
RSPH10B,1.1,0.11,0.75,0.69,0.53,0.48,0,0.39,0.92
NETO2,66.21,206.6,78,56.88,101.87,71.64,62.2,65.82,21.71
KRT18P7,0,0,0,0,0,0.06,0,0,0.07
HES5,0,0.21,0,0.07,0,0,0.12,0,0
RPL5P10,0,0,0,0,0,0,0,0,0
AC084754.1,0,0,0,0,0,0,0,0,0
CCDC59,122.83,71.59,138.29,131.6,131.87,77.69,126.59,95.84,82.45
ZNF716,0.01,0,0.02,0.02,0.03,0.03,0.04,0.01,0
BTF3P11,0,0,0,0,0.31,0,0,0,0.29
YRDCP1,0,0,0,0,0,0,0,0,0
AC009238.1,0,2.72,0,0,3.09,8.47,0.33,0.95,0
ZFP36L2,31.47,13.38,12.8,29.93,29.64,19.15,32.4,40.82,46.81
AC079768.1,0,0.16,0,0,0,0,0,0,0
FANCI,135.42,166.9,139.83,134.17,102.23,106.4,123.03,127.58,195.79
SPDYE4,0.09,0.11,0,0,0,0,0,0,0
ZBTB6,10.36,8.25,6.87,9.56,11.47,7.13,10.1,8.73,13.38
NXPH4,1.82,2.8,0,0.95,5.44,0.41,4.42,2.73,8.19
TSPAN1,264.2,71.82,1.1,195.45,249.9,21.26,145.98,26.44,228.78
CLIC4P2,0,0,0,0,0,0,0,0,0
OR10H5,0.09,0.1,0.06,0.09,0.12,0.09,0.08,0.08,0.48
MBL3P,0,0,0,0,0,0,0,0.15,0
PLXNA3,16.66,14.93,23.01,2.04,6.79,25.01,6.35,22.52,5.61
VSIG1,1.31,0.16,0.06,4.64,0.72,0.36,1.05,0.39,0.05
HES4,18.68,18.37,24.04,14.35,14.58,10.64,26.09,11.76,107.6
ARL5AP3,0,0.47,0,0,0,0,0,0,0
POLRMTP1,0.05,0.02,0,0.04,0.02,0,0.02,0.02,0.04
EIF4E2,73.02,73.83,86.94,72.44,107.71,107.12,59.74,143.78,78.49
STYX,17.51,9.21,12.56,11.29,12.96,9.24,12.78,5.71,11.19
B3GALT4,0.1,0.27,0.14,0,0.13,0,0.12,0.11,1.03
IFIT2,4.29,4.56,4.66,19.16,15.86,3.91,28.33,4.77,4.78
Z82205.1,1.26,0,0,0,0,0,0,0,0
RPL7P16,0,0.3,0,0,0.15,0.12,0,0.12,0.14
RNF213,21.7,28.45,24.87,15.61,12.19,86.87,12.36,36.18,128.86
AC137800.2,0,0,5.08,0,0,0,0,7.6,0
FLG2,0,0,0.02,0,0.02,0,0.04,0,0.01
FAR1P1,0,0,0,0,0,0,0,0,0
RPL22P17,0,0,0,0,0,0,0,0,0.68
SLC16A6P1,0,0,0,0,0,0,0,0,0.09
BTN1A1,0,0.14,0,0,0,0,0.03,0.09,0
FAM241A,2.53,3.86,0.84,2.48,2.23,1.58,1.66,1.43,2.56
TRAPPC8,20.1,16.96,16.09,10.32,16.89,15.69,15.27,21.78,15.31
SHANK3,0.52,2.3,0,0,0,0,0,0,0
AKAP5,0.8,1.77,0.6,0.12,0.39,0.64,0.17,1,1.46
QRSL1,12.65,11.19,11.49,14.96,16.27,15.39,9.49,10.73,14.83
AL390728.1,0,0,0,0.09,0.04,0,0.04,0.04,0
EXOSC3,96.51,59.95,52.17,89.63,96.24,112.33,69.37,17.98,25.54
RPL36AP39,0,1.43,0,0,0,0,0,0,0
PSPC1P1,0.14,0,0.59,0,0,0,0.32,0,0
DNAJB1,89.92,116.3,61.89,144.48,112.18,80.79,164.32,120.31,115.43
CCDC92,0.98,3.83,3.99,0.37,1.04,4.76,0.7,5.66,0.52
CCZ1B,18.62,24.27,23.59,27,26.32,27.31,20.5,22.88,18.43
TAF9P2,0,0,0,0,0,0,0,0,0
KRT18P52,0,0,0.13,0,0,0,0,0,0
ZCCHC14,7.75,10.23,10.16,14.75,13.17,8.57,9.4,16.21,4.34
MARK2P13,0,0,0,0,0,0,0,0,0
AC027644.2,0,0,0,0,0,2.23,0,0,0
KIAA1143,29.38,28.59,38.89,32.92,49.67,19.75,49.63,23.4,41.3
FOSL2,49.76,74.17,4.93,47.87,32.67,71.14,36.81,23.73,198.29
ARHGEF26,1.13,0.12,2.32,0.6,0,2.14,0,0,1.44
KATNAL2,2.59,4.09,8.01,0.22,0.39,1.65,0.21,10.86,6.29
CTSC,180.76,85.71,110.26,133.88,76.8,167.99,75.91,141.53,181.92
AC007969.2,1.71,0,0,0,0,0,0,1.96,0
IGHV4-34,0,0,0,0,0,0,0,0,0
APOL5,0,0,0,0,0,0,0,0,0.09
AP002802.2,0,0,0,0,0,0,0,0,0
PLD6,2.24,4.24,6.47,3.99,3.68,10.89,2.73,5.86,0.88
CPLANE2,7.6,2.36,6.18,5.3,5.13,8.04,3.13,2.67,4.68
AC079804.1,0,0,0,0,0,0,0,0.3,0
PGBD4P1,0.33,0,0,0,0,0,0,0,0
TPI1P3,0,0,0,0.15,0,0,0,0,0
AC008850.1,0.41,0,0,0,0,0,0,0,0
C15orf61,4.07,3.3,3.12,4.48,4.59,3.13,4.53,2.6,7.23
POLR2K,119.87,125.02,101.09,64.5,111.22,83.49,111.87,103.56,86.33
UHRF1BP1L,10.04,22.39,21.28,12.52,14.39,17.29,21.59,17.99,9.46
NIPSNAP2,53.51,36.81,53.7,35.29,19.83,48.28,23.05,50.64,61.56
SERPINB9,1.89,12.78,23.5,24,5.58,5.11,5.98,0.16,0.19
GMIP,12.87,3.2,3.66,8.44,3.85,5.28,9.02,3.55,5.86
NLRP2,0,0.71,0,0,0,1.52,0,0,0
CYP4F44P,0,0,0,0,0,0,0,0,0
PPIAP78,0,0,0,0,0,0.24,0.25,0,0
LPIN3,6.86,12.25,2.54,5.48,11.52,6.44,7.6,7.21,7.83
NSMCE4A,60.58,41.78,66.93,49.13,57.17,37.73,38.84,58.73,52.81
AL672207.1,0,0,0,0,0,0,0,0,0
MFNG,3.95,1.5,0.24,12.82,8.58,0.29,5.77,4.94,16.47
NPIPB7,0,0.29,0,0,0,0,0,0,0
CYP21A2,0,0,0,0,0,0,0,0,0
TCEAL1,12.18,42.84,17.25,23.47,20.82,34.76,25.09,16.96,16.27
PRUNEP1,0,0,0,0,0,0,0,0,0
WASHC3,42.38,50.66,15.98,63.25,63.52,50.09,50.6,36.54,19.94
PRR13P3,0,0,0,0,0,0,0,0,0
HECA,8.27,9.11,6.03,9.65,10.2,7.62,5.61,3.92,1.38
SLC13A4,0.1,0.02,0.08,0.29,0.08,0,0.4,0.02,0
STAMBPL1,22.34,19.84,4.07,17.46,15.09,8.7,17.96,17.22,4.21
AC073544.1,0,0,0,0,0,0.05,0,0,0
RPS20,2006.38,2028.05,2676.23,1514.58,2053.26,2010.22,1548.08,2631.07,1879.64
TUBBP6,0.05,0.07,0.07,0,0.07,0.11,0,0.06,0
RPS7P4,0.17,0,0,0.22,0.22,0,0,0,0
CABP4,0.13,1.52,0.2,6.87,17.92,4.1,8.26,0.03,3.92
ANXA3,177.41,91.65,9.37,399.16,200.41,68.42,382.96,87.5,151.96
TMEM94,16.9,24.18,40.81,14.81,16.27,23.18,18.01,21.61,16.9
SIL1,30.15,70.84,30.5,69.73,22.69,28,36.07,40.84,23.64
ITGB7,0.67,0.55,0.48,0.28,0,0.05,0.13,0.08,0.55
RAB2B,31.15,15.09,18.83,17.35,16.92,27.8,15.41,17.72,27.13
PLEKHB2,65.54,107.73,47.96,77.78,112.68,89.45,63.49,93.61,87.64
RTN3,89.35,149.7,188.14,123.98,89.94,152.7,160.27,168.41,117.92
RPL39P26,0,0,0,0,0,0,0,0,0
OR4D10,0,0,0,0,0,0,0,0,0
AL645949.1,1,0,2.72,0,1.36,0,3.43,1.7,0.64
MPV17L2,18.22,5.71,11.91,22.55,13.66,10.35,23.75,11.14,7.86
PANX2,1.37,2.65,0.79,1.94,1.01,13.29,0.32,1.16,8.96
SLC4A4,0.05,0.02,0.54,0.32,0.01,0.27,0.01,7.93,16.53
CBFA2T3,0,0.08,0,1.27,0,0.04,0.64,0,0.64
ZBTB9,0,0,0.94,0,0,0,0,0,1.49
ZNF658,3.63,3.34,2.67,1.33,1.91,0.35,1.26,6.67,0.79
CICP3,0,0,0,0,0,0,0,0,0
CDA,4.08,32.12,0,32.75,21.66,63.53,31.71,0,36.11
PTGS2,57.58,23.71,0.21,27.85,5.16,2.58,9.71,0.04,22.78
KCNK1,19.36,10.04,4.76,17.38,22.11,14.11,14.99,7.26,76.26
RPL7P10,0,0,0,0,0,0,0,0.24,0.14
USP17L2,0,0,0,0,0,0,0,0.05,0
P4HB,432.21,709.69,530.15,290.03,370.17,806.07,329.92,473.21,1042.46
RPS26P54,0,0,0,0,0,0,0,0,0
ADTRP,2.58,2.31,0.09,1.08,2.91,14.45,0.29,0.73,0.1
SRPK3,0.12,1.37,0.08,0,0.02,0.05,0.07,0.07,0.02
HLA-DMB,0.09,6.33,0,0,0,0.16,0,0,0
CRYBA2,0.12,2.62,0.24,0.32,0.79,0,0.34,0.3,0
DPPA4,0.26,0.18,0.26,0.05,0.23,0.09,0.27,0.25,0.48
SLN,0,0,0,0.31,0,0,0.27,0,0
HESX1,1.48,1.06,2.46,0.63,1.06,0.56,1.27,1.98,1.06
SAPCD1,1.45,3.73,0.73,0,0,3.09,1.8,6.44,1.33
SNRPEP4,0.85,1.23,2.69,1.23,1.1,5.06,0.96,1.83,0
TET3,10.71,2.52,4.23,5.69,10.71,4.04,5.77,3.38,8.05
SPACA3,0,0,0,0,0,0,0,0,0
H3.Y,0,0,0,0,0,0,0,0,0
TRIM6,4.97,2.03,13.8,46.39,39.74,18.36,38.43,32.34,3.84
PRB1,0,0,0.06,0,0,0,0.07,0,0
DCAKD,9.83,14.65,11.08,8.77,7.36,11.79,9.85,16.75,14.83
KRCC1,5.04,29.64,18.5,1.33,0.39,18.62,8.5,23.47,35.47
AC087783.2,0,0,0,0.24,0.69,0,0,9.64,0.22
RNF185,29.39,22.25,11.31,21.67,17.49,12.46,15.93,11.86,14.01
GLYATL1,0.49,0.89,0.68,0.71,0.54,1.34,1.05,1.41,0.05
TNNC1,0.49,0.47,35.89,1.42,0.63,1.42,0.27,0.52,2.58
CDSN,0,0,0,0,0,0,0,0.08,0
DSE,17.98,28.04,14.18,33.68,33.27,39.52,16.9,10.85,1.46
MAK16,18.73,12.53,59.87,21.97,20.84,19.19,16.07,33.6,34.86
RANBP2,37.25,44.37,37.05,35.91,44.31,31.12,23.69,23.2,40.03
SEC31B,0.28,0.65,6.22,1.11,1.72,1.41,1.8,2.44,1.05
ARPIN,7.9,8,9.78,12.72,8.68,6.67,11.17,12.33,21.91
IRF5,0.61,2.88,1.22,4.42,1.36,0.89,7.58,6.13,5.3
RPL23P2,0.92,1.18,0.82,1.62,0.78,0.95,1.01,0.64,2.23
SUSD6,22.54,6.68,3.57,10.58,15.28,6.91,15.41,4.45,4.62
HNRNPCP4,0.09,0,0,0,0,0,0,0,0
GNAI3,17.18,14.44,10.37,5.94,17.36,13.91,19.22,8.2,7.29
EIF2S2P2,0.08,0.1,0.1,0.1,0,0,0,0,0
AC055876.1,0,0.12,0,0,0,0,0,0,0
FUNDC2,0.11,91.73,52.18,63.54,140.89,112.98,111.19,78.57,44.73
CDKL3,0.78,7.21,7.37,1.73,1.97,1.58,3.63,4.03,1.61
GLRA4,0,0,0,0,0,0,0.04,0,0
NUS1P2,0,0.48,0.86,0,0,0,0,0,0
MARCKS,75.48,79.37,24.89,51.09,82.34,115.27,44.52,72.11,20.05
FPR1,0,0.3,0,0.04,0,0,0,0.29,0
BUB1,59.06,57.97,55.57,50.97,100.46,108.8,61.6,63.57,37.84
SERPINA4,0,0,0,0,0.05,0,0.08,0.73,1
NRBF2,27.84,20.33,22.72,24.4,27.39,36.99,30.75,18.42,27.47
ASIC5,0,0,0,0,0,0,0,0,0
SUMO2P13,0,0,0,0,0,0,0,0,0
MFF,59.39,60.62,66.98,71.75,60.37,136.19,66.03,91.44,193.4
SEC11C,62.72,49.73,55.89,38.86,76.5,16.83,55.73,60.29,53.8
AC060780.2,4.72,17.46,4.38,6.37,0,5.24,5.52,5.42,6.32
COPB2,211.05,402.25,167.47,200.22,235.34,245.32,181.49,120.7,176.97
NIPA2,97.05,79.16,84.35,110.15,107.08,129.61,99.04,96.76,165.35
AL589743.3,0,0,0,0,0,0,0,0,0
PTCRA,0,0,0,0,0,0,0,0,0
TRBC1,0,0,0,0,0,0,0.06,0,0
KIAA0556,11.04,13.39,11.96,10.37,11.4,10.39,14.94,13.25,13.68
ZDHHC15,0.98,2.25,0.89,2.62,1.82,0.21,1.45,0.32,1.43
MFAP1,48.35,33.43,40.38,47.49,53.5,54.98,48.39,44.86,67.4
TRBC2,18.46,114.8,0,8.06,48.01,0.12,45.67,0,0
CD177P1,0,0,0,0.14,0,0,0,0,0
TMEM245,52.28,82.42,43.86,27.87,37.26,68.54,25.81,63,43.76
RBM11,1.39,0.22,1.73,1.57,0,0.6,0.18,0.29,0
POLG,54.72,54.78,65.59,30.67,39.89,35.9,59.1,43.54,141.98
BCL11B,0.35,0.4,0.03,1.05,0.74,0,0.55,0.24,0.05
SPAG6,0,0.28,0,0,0.03,0.09,0,0.1,0
AC235565.2,0,0,0,0.24,0.18,0,0.26,0,0
AC100793.1,0,0,0,0,0,0,0,0,0
NANOGNB,0,0,0.12,0.11,0.25,0,0,0.18,0
RPS10P14,0,0,0,0.29,0,0,0,0,0
AL645608.4,0,0,0,0,0,0,0,0,0
CMC2,90.37,186.12,121.63,166.67,143.17,142.21,126.29,111.48,136.66
SRF,23.15,28.07,25.73,30.07,28.4,23.03,29.27,23.14,37.3
AC084364.1,0,0,0,0,0,0,0,0,0
PPIAP71,0,0.58,0,0,0,0,0,0,0
KIAA0586,28.44,25.13,17.01,22.9,22.69,15.63,26.44,12.43,15.9
EFNB3,2.11,2.77,1.05,0,0,0,0,4.28,0
EEA1,15.69,16.6,16.03,28.28,18.07,11.93,22.13,18.07,7.6
AC074043.1,0,0,0,0,0.05,0,0,0,0
INPPL1,45.18,73.59,115,79.65,40.03,114.46,72.96,74.62,73.56
PLD5,0.01,0,0.13,0,0.02,0.16,0.02,4.62,0
DNAI2,0,0,0,0,0,0,0,0,0
RPS27P23,0,0,0,0,0,0,0,0,0
MEPE,0,0,0,0,0,0,0,0,0
HMOX2,73.7,38.93,54.43,89.59,70.59,47.72,67.59,40.17,37.24
AP000705.1,0,0,0,0,0,0,0,0,0
PCDHGA1,0.46,0.12,0.1,0.04,0.13,0.13,0.05,0.27,0.27
AC083863.1,0,0,0,0,0,0,0,0,0
AL513174.1,0.3,0.58,0.2,0.39,0.57,0.47,2.65,0.47,1.66
SNRPGP17,0,0,0,0,0,0,0,0,0
MAMSTR,1.13,0.74,4.88,0.51,0.25,0.69,0.49,0.38,0.1
TMUB2,33.44,35.73,12.52,21.4,27.14,30.08,24.12,24.28,24.67
C6orf48,78.46,62.11,10.75,32.28,25.36,42.81,0,0,12.73
LARP4,48.24,58.67,49.81,64.12,68.61,53.49,48.7,50.12,67.75
AC090615.1,0,0,0,0,0,0,0,0,0
AL035425.2,0.72,0,0,0,0,0,0,0.38,0
PARP4P2,0.02,0.02,0,0,0,0.02,0,0,0
ARMCX4,2.64,6,16.24,0.14,5.31,3.24,5.02,1.32,0.56
DMBT1,0.05,6.27,0.03,1.01,0.36,0.03,0.3,0.17,1.24
TTL,31.41,43.34,50.6,28.15,29.78,48.14,30.01,33.84,10.59
TMEM150C,0.99,0.16,1.31,0.21,0.07,0.68,0.04,2.18,0
MICD,0,0.07,0,0,0,0,0,0,0
AC138356.2,1.24,2.12,0,0,0,0,0,0.43,1.85
PRLR,0.83,0.49,0.13,0.02,0,0.44,0.01,0.04,0.04
RP1L1,0.49,0.4,0.18,1.02,1.14,0.69,0.68,0.24,0.49
TUBAP,0,0,0,0,0,0,0.06,0,0
RPL26P27,0,0,0,0,0,0,0,0,0
GPRC6A,0,0,0,0,0,0,0,0,0
FRG1DP,0.11,0.44,1.55,3.24,1.19,0,3.6,0.97,1.12
NBPF25P,0.46,0.84,1.47,0.38,0.76,1.3,0.68,0.7,0.27
ZNF521,0.01,1.66,1.97,0.1,0.62,0.96,0.21,1.13,0
TRIM28,284.61,1053.9,313.4,181.11,221.55,222.07,227.16,208.65,218.29
CCL3,0,2.68,0.14,0.56,0.08,0,0.12,0,0
APOH,0,0,0,0,0,0.59,0,17.36,0.79
ZNF775,1.3,3.89,1.17,2.94,0.47,7.77,0.7,2.79,1.85
FLYWCH1P1,0,0,0,0,0,0,0,0,0
AC019181.1,0,0,0,0,0,0.61,0.64,0,0
PES1P1,0,0.3,0,0.55,0,0,0.35,0,0.05
PSORS1C1,0,0,0,0.05,0.41,0.17,0,0,0
DGKE,4.42,9.91,11.54,4.21,4.3,5.25,4.97,6.9,4.48
RNF224,1.01,0.63,0.05,0.43,2.83,0.82,3.24,0.35,3.23
CXCL1,65.99,8.96,0,21,11.35,47.82,7.47,2.56,90.09
RPS27AP1,0,0,0,0,0,0,0,0,0
HERC2P7,0,0,0,0,0,0.24,0,0.47,0
LRGUK,0.09,0.03,0.68,0.09,0,0.22,0.02,0.31,0.19
ZNF839P1,0,0,0,0,0,0,0,0.2,0
