SYMBOL,GR response to iNKT,VIP
FUOM, -0.0053,1.1783
GAL, -0.0053,1.0697
TCIM, -0.0052,1.1842
CDC42EP5, -0.0052,1.1774
LCA5, -0.0052,1.1715
LPXN, -0.0051,1.1933
ZBED2, -0.0051,1.1858
PTPRE, -0.0051,1.1628
SLC52A3, -0.0051,1.1254
BMS1P13, -0.0051,1.1034
ADGRF4, -0.0051,1.0118
MYO6, -0.0050,1.207
EPHA4, -0.0050,1.1762
RAB37, -0.0050,1.1491
RIN3, -0.0050,1.0676
MAML2, -0.0049,1.0754
LMBRD1, -0.0048,1.2128
TMEM30A, -0.0048,1.209
LCK, -0.0048,1.1567
ITGB8, -0.0048,1.093
RILP, -0.0048,1.0586
DOCK4, -0.0048,0.9822
DTNA, -0.0048,0.8577
CD40, -0.0047,1.1806
ZNF365, -0.0047,1.1365
SORL1, -0.0046,1.2188
F2RL1, -0.0046,1.1978
GATA3, -0.0046,1.1385
PCDHGC3, -0.0046,1.079
LBH, -0.0046,0.8287
CEACAM1, -0.0045,1.1224
SDR16C5, -0.0045,1.0683
AS3MT, -0.0045,0.9554
ARHGAP27, -0.0045,0.945
TRPV2, -0.0044,1.167
ADAM28, -0.0044,1.1576
RAP1GAP2, -0.0044,1.064
CEACAM5, -0.0044,0.8154
SHISA2, -0.0043,1.153
GPRC5B, -0.0043,1.0781
ARHGAP25, -0.0042,1.1169
FCGRT, -0.0042,1.0588
MYEOV, -0.0041,1.1759
PODXL, -0.0041,1.1722
DAPP1, -0.0041,1.0961
SOWAHB, -0.0041,0.9711
RETREG1, -0.0041,0.9392
RNF141, -0.0040,1.1455
SMIM11A, -0.0040,0.8882
LRP10, -0.0039,1.1921
SNX14, -0.0039,1.1888
PLSCR3, -0.0039,1.0547
PTK6, -0.0039,1.0028
MAGED4B, -0.0039,0.986
IRF7, -0.0039,0.9358
PDGFB, -0.0038,1.0773
KIAA0040, -0.0037,0.8077
CST1, -0.0036,1.078
HOXB7, -0.0035,0.8836
ISM1, -0.0034,1.1533
TCN2, -0.0032,1.0291
EMILIN2, -0.0032,0.8976
TMEM154, -0.0030,1.0206
UTS2, -0.0030,0.9536
TGFB1I1, -0.0030,0.8912
DUXAP8, -0.0028,0.9504
EVA1A, -0.0027,0.9583
SLC2A12, -0.0026,1.0388
POU2F2, -0.0025,1.1153
DLL1, -0.0025,1.0763
ELOVL4, -0.0024,0.9996
PKIA, -0.0024,0.9539
TMPRSS4, -0.0023,1.0193
FOXD1, -0.0023,0.951
RPS6KA2, -0.0022,1.0779
DAB2, -0.0022,0.8548
APOBEC3G, -0.0019,0.9986
LTBP2, -0.0019,0.9985
PTGS2, -0.0018,1.0433
LAPTM5, -0.0017,0.842
RGCC, -0.0015,0.9481
TRPM2, -0.0013,1.0814
FHOD3, -0.0011,0.9051
DHRS9, -0.0009,0.9186
APOBEC3F, -0.0007,0.9848
SH3BP1, -0.0007,0.8616
HOXC10, -0.0007,0.8338
PQLC2L, -0.0007,0.8119
CCDC169, -0.0001,0.9299
CCL28,0,0.8118
MRPS36,0.0003,0.9679
GPSM3,0.0007,0.8939
BRCC3,0.0016,0.9785
FUNDC2,0.0044,0.8633
MAPKAPK3,0.0051,0.8464
